Date,Time,Waypoint,LAT,LON,Habitat,Boundary,Boundary 2,Height Verbatim,Height Code,Canopy Level – Verbatim,Canopy Level Code
04/10/08,13:22,296,9.116309,-79.695291,Edge,Forest,Lagoon,6-10 meters,4,Upper,4
04/10/08,13:32,297,9.116449,-79.695051,Forest,,,6-10 meters,4,Mid,3
04/10/08,13:42,298,9.116368,-79.695150,Edge,Forest,Lagoon,6-10 meters,4,Upper,4
04/10/08,13:52,299,9.116358,-79.695097,Edge,Forest,Lagoon,6-10 meters,4,Upper,4
04/17/08,09:03,68,9.118657,-79.695126,Forest,,,6-10 meters,4,Mid,3
04/17/08,09:13,69,9.118611,-79.695274,Forest,,,4-6 meters,3,Understory,2
04/17/08,09:23,70,9.118826,-79.694912,Forest,,,6-10 meters,4,Upper,4
04/17/08,09:33,71,9.118539,-79.694911,Forest,,,< 4 meters,2,Understory,2
04/17/08,09:43,72,9.118281,-79.694778,Forest,,,4-6 meters,3,Mid,3
04/17/08,09:53,73,9.118243,-79.694812,Edge,Forest,Backyard,< 4 meters,2,Understory,2
04/17/08,10:03,74,9.118204,-79.694834,Edge,Forest,Backyard,6-10 meters,4,Mid,3
04/17/08,10:13,75,9.117897,-79.694910,Edge,Forest,Backyard,> 10 meters,5,Upper,4
04/17/08,10:43,76,9.117117,-79.695195,Forest,,,6-10 meters,4,Mid,3
04/17/08,10:53,77,9.116915,-79.695222,Forest,,,4-6 meters,3,Mid,3
04/17/08,11:03,78,9.116739,-79.695303,Forest,,,< 4 meters,2,Understory,2
04/17/08,11:13,79,9.116664,-79.695322,Forest,,,< 4 meters,2,Understory,2
04/17/08,11:23,80,9.116310,-79.695214,Edge,Forest,Lagoon,4-6 meters,3,Mid,3
04/17/08,11:53,81,9.116372,-79.695166,Edge,Forest,Lagoon,4-6 meters,3,Mid,3
04/17/08,12:03,82,9.116361,-79.695122,Edge,Forest,Lagoon,6-10 meters,4,Upper,4
04/17/08,12:13,83,9.116338,-79.695191,Edge,Forest,Lagoon,6-10 meters,4,Upper,4
04/17/08,12:23,84,9.116443,-79.695130,Forest,,,< 4 meters,2,Understory,2
04/17/08,12:33,85,9.116475,-79.695009,Forest,,,4-6 meters,3,Mid,3
04/17/08,12:43,86,9.116525,-79.695171,Forest,,,6-10 meters,4,Mid,3
04/17/08,12:53,87,9.116663,-79.695205,Forest,,,4-6 meters,3,Mid,3
04/18/08,09:45,88,9.117478,-79.695270,Forest,,,> 10 meters,5,Upper,4
04/18/08,09:55,89,9.117423,-79.695262,Forest,,,> 10 meters,5,Upper,4
04/18/08,10:05,90,9.117465,-79.695226,Forest,,,> 10 meters,5,Upper,4
04/18/08,10:15,91,9.117448,-79.695364,Forest,,,> 10 meters,5,Upper,4
04/18/08,10:25,92,9.117655,-79.695203,Forest,,,6-10 meters,4,Mid,3
04/18/08,11:15,93,9.116884,-79.695296,Forest,,,> 10 meters,5,Upper,4
04/18/08,11:25,94,9.116713,-79.695385,Forest,,,6-10 meters,4,Mid,3
04/18/08,11:35,95,9.116739,-79.695362,Forest,,,4-6 meters,3,Mid,3
04/18/08,11:55,96,9.116371,-79.695050,Edge,Forest,Lagoon,< 4 meters,2,Mid,3
04/18/08,12:05,97,9.116400,-79.695048,Edge,Forest,Lagoon,< 4 meters,2,Mid,3
04/18/08,12:15,98,9.116457,-79.695034,Edge,Forest,Lagoon,< 4 meters,2,Mid,3
04/18/08,12:25,99,9.116597,-79.694880,Forest,,,4-6 meters,3,Mid,3
04/18/08,12:35,100,9.116737,-79.694890,Forest,,,6-10 meters,4,Mid,3
04/18/08,12:45,101,9.116729,-79.694813,Forest,,,4-6 meters,3,Mid,3
04/18/08,12:55,102,9.116732,-79.694909,Forest,,,4-6 meters,3,Mid,3
04/18/08,13:05,103,9.116873,-79.694805,Forest,,,4-6 meters,3,Mid,3
04/18/08,13:15,104,9.116786,-79.694843,Forest,,,4-6 meters,3,Mid,3
04/18/08,13:25,105,9.116794,-79.694883,Forest,,,4-6 meters,3,Upper,4
04/18/08,13:35,106,9.116583,-79.695150,Forest,,,6-10 meters,4,Top,5
04/22/08,10:36,120,9.118470,-79.694908,Forest,,,4-6 meters,3,Mid,3
04/22/08,10:44,121,9.118495,-79.694826,Forest,,,6-10 meters,4,Upper,4
04/22/08,10:55,122,9.118650,-79.694975,Forest,,,4-6 meters,3,Mid,3
04/22/08,11:06,123,9.118793,-79.695034,Forest,,,4-6 meters,3,Mid,3
04/22/08,11:22,124,9.118688,-79.694737,Forest,,,6-10 meters,4,Upper,4
04/22/08,11:23,125,9.118636,-79.694663,Forest,,,6-10 meters,4,Mid,3
04/23/08,09:17,126,9.119011,-79.695213,Forest,,,4-6 meters,3,Mid,3
04/23/08,09:25,127,9.118976,-79.695166,Forest,,,4-6 meters,3,Mid,3
04/23/08,09:38,128,9.119085,-79.695138,Forest,,,4-6 meters,3,Mid,3
04/23/08,09:46,129,9.118958,-79.695203,Forest,,,4-6 meters,3,Mid,3
04/23/08,09:55,130,9.118591,-79.695222,Forest,,,6-10 meters,4,Upper,4
04/23/08,10:05,131,9.118375,-79.695206,Forest,,,< 4 meters,2,Understory,2
04/23/08,10:16,132,9.118300,-79.695237,Forest,,,< 4 meters,2,Understory,2
04/23/08,10:34,133,9.118097,-79.694989,Forest,,,4-6 meters,3,Mid,3
04/23/08,10:38,134,9.117908,-79.695092,Forest,,,4-6 meters,3,Mid,3
04/23/08,10:47,135,9.117951,-79.695187,Forest,,,4-6 meters,3,Upper,4
04/23/08,10:56,136,9.117838,-79.695283,Forest,,,4-6 meters,3,Mid,3
04/23/08,11:20,137,9.117696,-79.695163,Forest,,,4-6 meters,3,Mid,3
04/23/08,11:25,138,9.117892,-79.695000,Forest,,,4-6 meters,3,Mid,3
04/23/08,12:15,139,9.117954,-79.694981,Forest,,,4-6 meters,3,Mid,3
04/23/08,12:27,140,9.117676,-79.694837,Forest,,,6-10 meters,4,Upper,4
04/23/08,12:37,141,9.117615,-79.694859,Forest,,,6-10 meters,4,Upper,4
04/23/08,12:45,142,9.117295,-79.694862,Forest,,,6-10 meters,4,Upper,4
04/23/08,12:55,143,9.117357,-79.694683,Forest,,,6-10 meters,4,Upper,4
04/23/08,13:05,144,9.117470,-79.694721,Forest,,,6-10 meters,4,Upper,4
04/23/08,13:16,145,9.117386,-79.694858,Forest,,,4-6 meters,3,Upper,4
04/23/08,13:25,146,9.117349,-79.694869,Forest,,,4-6 meters,3,Mid,3
04/23/08,13:35,147,9.117351,-79.694880,Forest,,,4-6 meters,3,Mid,3
04/23/08,13:45,148,9.117329,-79.694900,Forest,,,6-10 meters,4,Upper,4
04/23/08,13:59,149,9.117525,-79.695007,Forest,,,6-10 meters,4,Upper,4
04/23/08,14:06,150,9.117533,-79.695419,Forest,,,> 10 meters,5,Upper,4
04/23/08,14:18,151,9.117345,-79.695508,Forest,,,6-10 meters,4,Upper,4
04/23/08,14:46,152,9.117253,-79.695224,Forest,,,4-6 meters,3,Mid,3
04/24/08,10:19,153,9.118735,-79.695186,Forest,,,6-10 meters,4,Mid,3
04/24/08,10:30,154,9.118751,-79.695206,Forest,,,6-10 meters,4,Mid,3
04/24/08,10:39,155,9.118640,-79.695022,Forest,,,6-10 meters,4,Mid,3
04/24/08,10:51,156,9.118758,-79.695113,Forest,,,6-10 meters,4,Upper,4
04/24/08,11:04,157,9.119146,-79.694915,Forest,,,4-6 meters,3,Mid,3
04/24/08,11:10,158,9.119092,-79.694874,Forest,,,4-6 meters,3,Mid,3
04/24/08,12:24,159,9.118441,-79.694978,Forest,,,4-6 meters,3,Upper,4
04/24/08,12:35,160,9.118235,-79.694988,Forest,,,4-6 meters,3,Mid,3
04/24/08,12:43,161,9.118270,-79.694914,Forest,,,4-6 meters,3,Mid,3
04/24/08,12:52,162,9.118193,-79.694871,Forest,,,4-6 meters,3,Top,5
04/24/08,13:02,163,9.117950,-79.694771,Forest,,,> 10 meters,5,Top,5
04/24/08,13:42,164,9.117333,-79.694908,Forest,,,4-6 meters,3,Mid,3
04/24/08,13:54,165,9.117179,-79.694780,Forest,,,6-10 meters,4,Upper,4
04/24/08,14:06,166,9.117284,-79.694925,Forest,,,4-6 meters,3,Mid,3
04/24/08,14:12,167,9.117403,-79.694810,Forest,,,4-6 meters,3,Mid,3
04/24/08,14:23,168,9.117588,-79.694816,Forest,,,4-6 meters,3,Mid,3
04/24/08,14:33,169,9.117472,-79.694706,Forest,,,4-6 meters,3,Mid,3
04/24/08,14:42,170,9.117622,-79.694507,Edge,Forest,Road,4-6 meters,3,Upper,4
04/24/08,14:59,171,9.117630,-79.694327,Edge,Forest,Road,< 4 meters,2,Understory,2
04/24/08,15:01,172,9.117590,-79.694025,Backyard Tree,,,6-10 meters,4,Mid,3
04/28/08,08:19,198,9.117962,-79.695762,Forest Edge,Backyard???,,6-10 meters,4,Mid,3
04/28/08,08:26,199,9.117683,-79.695952,Forest Edge,Backyard???,,6-10 meters,4,Mid,3
04/28/08,08:45,200,9.117977,-79.695297,,,,,,,
04/28/08,08:47,201,9.118060,-79.695148,Forest,,,6-10 meters,4,Upper,4
04/28/08,08:56,202,9.117859,-79.694957,Forest,,,6-10 meters,4,Upper,4
04/28/08,09:06,203,9.117886,-79.694915,Forest,,,> 10 meters,5,Upper,4
04/28/08,09:35,204,9.117377,-79.695110,Forest,,,6-10 meters,4,Upper,4
04/28/08,09:45,205,9.117382,-79.695215,Forest,,,,,,
04/28/08,10:56,206,9.116842,-79.695389,Forest,,,4-6 meters,3,Mid,3
04/28/08,11:06,207,9.116739,-79.695497,Forest,,,6-10 meters,4,Mid,3
04/28/08,11:17,208,9.116664,-79.695377,Forest,,,4-6 meters,3,Mid,3
04/28/08,11:24,209,9.116672,-79.695286,Forest,,,4-6 meters,3,Mid,3
04/28/08,11:38,210,9.116360,-79.695238,Forest,,,4-6 meters,3,Mid,3
04/28/08,11:47,211,9.116354,-79.695196,Forest,,,4-6 meters,3,Mid,3
04/28/08,11:56,212,9.116312,-79.695091,Forest,,,4-6 meters,3,Upper,4
04/28/08,12:07,213,9.116283,-79.694926,Forest,,,4-6 meters,3,Mid,3
04/28/08,12:18,214,9.116362,-79.695062,Forest,,,4-6 meters,3,Mid,3
04/28/08,12:28,215,9.116530,-79.695013,Forest,,,6-10 meters,4,Upper,4
04/28/08,12:37,216,9.116457,-79.694999,Forest,,,6-10 meters,4,Mid,3
04/28/08,12:47,217,9.116525,-79.694946,Forest,,,6-10 meters,4,Mid,3
04/28/08,12:55,218,9.116746,-79.694819,Forest,,,6-10 meters,4,Mid,3
04/28/08,13:08,219,9.116877,-79.694843,Forest,,,6-10 meters,4,Mid,3
04/28/08,13:15,220,9.116900,-79.694939,Forest,,,4-6 meters,3,Mid,3
04/28/08,13:25,221,9.117146,-79.694999,Forest,,,4-6 meters,3,Mid,3
04/28/08,13:35,222,9.117224,-79.694989,Forest,,,4-6 meters,3,Mid,3
04/28/08,13:44,223,9.117647,-79.695073,Forest,,,> 10 meters,5,Upper,4
04/29/08,09:43,224,9.119608,-79.695066,Forest,,,6-10 meters,4,Upper,4
04/29/08,09:52,225,9.119623,-79.695323,Forest,,,6-10 meters,4,Mid,3
04/29/08,10:02,226,9.119627,-79.695436,Forest,,,4-6 meters,3,Mid,3
04/29/08,10:12,227,9.119929,-79.695389,Forest,,,4-6 meters,3,Mid,3
04/29/08,10:23,228,9.120219,-79.695170,Forest Edge,Backyard???,,4-6 meters,3,Mid,3
04/29/08,10:33,229,9.120278,-79.695210,Forest Edge,Backyard???,,4-6 meters,3,Mid,3
04/29/08,10:53,230,9.120218,-79.695540,Forest Edge,Backyard???,,4-6 meters,3,Mid,3
04/29/08,11:02,231,9.119677,-79.695245,Forest,,,4-6 meters,3,Mid,3
04/29/08,11:12,232,9.119652,-79.695158,Forest,,,6-10 meters,4,Mid,3
04/29/08,11:24,233,9.119459,-79.695162,Forest,,,4-6 meters,3,Mid,3
04/29/08,11:54,234,9.119203,-79.695084,Forest,,,> 10 meters,5,Upper,4
04/29/08,12:02,235,9.118817,-79.695179,Forest,,,4-6 meters,3,Mid,3
04/29/08,12:13,236,9.118741,-79.695291,Forest,,,6-10 meters,4,Mid,3
04/29/08,12:23,237,9.118858,-79.695060,Forest,,,6-10 meters,4,Upper,4
04/29/08,12:33,238,9.118540,-79.694929,Forest,,,4-6 meters,3,Mid,3
04/29/08,12:43,239,9.118534,-79.694758,Forest Edge,Backyard???,,6-10 meters,4,Mid,3
04/29/08,15:06,240,9.116038,-79.695203,Edge,Forest,Lagoon,4-6 meters,3,Upper,4
04/29/08,15:13,241,9.116306,-79.695235,Edge,Forest,Lagoon,6-10 meters,4,Upper,4
04/29/08,15:23,242,9.116238,-79.695233,Edge,Forest,Lagoon,4-6 meters,3,Mid,3
04/29/08,15:42,243,9.116271,-79.694785,Forest Edge,??,,> 10 meters,5,Upper,4
04/29/08,15:53,244,9.116067,-79.694551,Forest Edge,??,,6-10 meters,4,Upper,4
